"X","tweet_text","directed_at","tweet_sentiment"
83,"Nice!  RT @mention Apple opening popup store for iPad launch in downtown Austin during #SXSW {link} via @mention",NA,"neutral"
84,"Nice!! RT @mention Hey, Apple fans! Get a peek at the space that's slated to be a pop-up #SXSW Apple Store tomorrow: {link}","Apple","positive"
85,"one thing @mention is doing so great is get a great, down to earth face to Google as a company - You can only love her #sxsw #sxwsi","Google","positive"
86,"Stay tune @mention showcase #H4ckers {link} #SXSW",NA,"neutral"
87,"Thank you @mention @mention for the #touchingstories preso #SXSW . Here's their deck {link}",NA,"neutral"
88,"Thank you @mention for an awesome #sxsw party! {link}",NA,"neutral"
90,"Thanks to @mention for her mention of our new #Speech iPad apps being showcased at the #SXSW Conf. {link} #sxswh #sxsh","iPad or iPhone App","positive"
91,"Thanks to @mention for publishing the news of our new medical Apps in the #sxswi conf. blog {link} #sxsw #sxswh #mhealth",NA,"neutral"
94,"Wonder if @mention is putting tips from the @mention API... #SxSW #SUxSW",NA,"neutral"
95,"XMAS!! RT @mention Shiny new @mention @mention @mention apps, a new @garyvee book, pop-up iPad 2 stores... #SXSW is Christmas for nerds.","iPad","positive"
96,"Yai!!! RT @mention New #UberSocial for #iPhone now in the App Store includes UberGuide to #SXSW sponsored by (cont) {link}","iPhone","positive"
97,"Yes!!! RT @mention hey @mention , i've got another gem for you --&gt; free @mention sxsw {link} #SXSW",NA,"neutral"
98,"Fast, Fun &amp; Future: @mention of Google presenting at #sxsw on search, local and mobile","Google","positive"
99,"GSD&amp;M &amp; Google's Industry Party Tonight @mention - See u there! {link} #SXSW #Austin #Welivehere #GSDM",NA,"neutral"
100,"New buzz? &quot;@mention Google to Launch Major New Social Network Called Circles, Possibly Today {link} rt @mention #sxsw&quot;",NA,"neutral"
101,"Headline: &quot;#iPad 2 is the Must-Have Gadget at #SXSW&quot; Hmm... I could have seen that one coming! {link} #gadget","iPad","positive"
102,"Know that &quot;dataviz&quot; translates to &quot;satanic&quot; on an iPhone. I'm just sayin'. #sxsw",NA,"negative"
103,".@mention &quot;Google launched checkins a month ago.&quot; Check ins are ok, but CHECK OUTS are the future. #sxsw #Bizzy","Google","positive"
104,".@mention &quot;Google launched checkins a month ago.&quot; Check ins are ok, but CHECK OUTS are the future. #sxsw #Bizzy (via @mention",NA,"neutral"
107,"#HP opens &quot;Mobile Park&quot;  &amp; Content Incubator at #SXSW  {link}   #Apple  constructs  &quot;pop-up&quot; store  {link}",NA,"neutral"
108,"Kawasaki: &quot;Not C.S. Lewis level reasoning, but Apple's continued existence is evidence for the existence of God&quot; #bawling #sxsw","Apple","positive"
109,"Kawasaki: &quot;pagemaker saved Apple.&quot; Oh those were the days. #sxsw #jwtatl #enchantment",NA,"neutral"
110,"Kawasaki: &quot;pagemaker saved Apple.&quot; Oh those were the days. #sxsw #jwtatl #enchantment  via @mention","Apple","positive"
111,"Spark for #android is up for a #teamandroid award at #SXSW read about it here: {link}",NA,"positive"
113,"#SXSW and #Apple iPad 2's are great, but thoughts are w/ Japan and APAC regions dealing w/ earthquake &amp; tsunami trauma. #sxswi","iPad","positive"
114,"At #SXSW, #Apple schools the #marketing experts | SXSW - CNET Blogs {link}",NA,"neutral"
115,"At #SXSW, #Apple schools the marketing experts - {link}","Apple","positive"
116,"At #SXSW, #Apple schools the marketing experts {link}",NA,"neutral"
118,"Temporary #Apple store on 6th and Congress for #sxsw, along with 10,000 very happy hipsters.","Apple","positive"
119,"“@mention #Apple wins #SXSW {link} Opening a temporary store in downtown Austin to support #iPad2 launch - That is good.","Apple","positive"
121,"Headed to #Austin for #SXSW? Check out my map for newbies {link} @mention @mention , @mention @mention Enjoy!",NA,"neutral"
122,"Funny how #Austin is trending but not #SXSW. Only a matter of minutes at this point (at least according to Twitter for iPhone).",NA,"neutral"
123,"Christian #iPad #iPhone devs I want to talk to u at #sxsw or after -maybe we can wk together on cool app! @mention me","iPad or iPhone App","positive"
124,"#sxsw #ux #ipad #uxdes remember to ultimately be aware of the audience your app is targeted towards. An unexpected experience can be good.",NA,"neutral"
126,"I can haz #iPad2 ifrom #SxSW Gr8 {link}","iPad","positive"
128,"#Google's #Mobile Future, and the Elusive 'Power of Here' - {link} (via @mention #eurorscg #sxsw #sxswi",NA,"neutral"
130,"Does your #SmallBiz need reviews to play on Google Places...We got an App for that..{link}  #seo #sxsw",NA,"positive"
131,"Does your #SmallBiz need reviews to play on Google Places...We got an App for that..{link} #seo #sxsw",NA,"neutral"
133,"#Samsung, #Sony follow #Apple, #HP lead @mention {link} #Austin #atx #SXSW /via @mention ^rg",NA,"neutral"
134,"Take that #SXSW ! RT @mention Major South Korean director gets $130,000 to make a movie entirely with his iPhone. {link}","iPhone","positive"
136,"Q1 Was at #sxsw #sxswi for prep. Amazing pre push locally. Focus on location based. Google owns 10% of the regions billboards. #pr20chat",NA,"neutral"
137,"Any other #Sxsw accounts I need to follow or apps to download for iPhone?",NA,"neutral"
138,"Headed to #sxsw and want to share/gather contact info? {link} can turn your iphone into a business card broadcaster.",NA,"neutral"
139,"Headed to #sxsw and want to share/gather contact info? {link} can turn your iphone into a... {link}",NA,"neutral"
140,"BTW - The #sxsw Apple store is sold out of all 3G models (VZW &amp; AT&amp;T).",NA,"neutral"
141,"Must have #SXSW app! RT @mention Lovely review from Forbes for our SXSW iPad app Holler Gram - {link}","iPad or iPhone App","positive"
142,"Temporary #sxsw apple store. Apple being sneaky as usual  {link}","Apple","positive"
143,"Anyone at #sxsw been by the pop-up Apple store in Austin? That's gotta be a hopping place today.",NA,"neutral"
145,"Apple won #SxSW from day one. Seeing a TON of #iPad2","iPad","positive"
146,"#fastball #sxsw Giving away two NEW Ipad2 wifi 32g black Apple cover tweet @mention fo more info #sxswi #attsxsw  Tonight @mention bo.lt house",NA,"neutral"
147,"Anyone at #sxsw had a chance to check out the pop-up Apple store? Wondering if it is worth the trek from the convention center...",NA,"neutral"
149,"“@mention #sxsw ipad store sold out of everything except 64gig wifi only white” also known as the white jeans configuration.","iPad","positive"
150,"Offered a #sxsw ipad promo to ninjafinder users and fans who are not here at #sxsw. Sucks to not be here. #sxsw","iPad","positive"
151,"@mention  #SXSW is an Austin conference. Do a google search - they have interactive / music / film.",NA,"neutral"
152,"Anyone at #sxsw know if apple will be (or is) selling ipad 2 there?",NA,"neutral"
153,"Anyone at #SXSW know if the apple store has had a new shipment of iPads yet?",NA,"neutral"
155,"#POURsite #SXSW learning about the life-changing impact of the iPad on real people's actual lives - bravo!","iPad","positive"
156,"@mention  #SXSW LonelyPlanet Austin guide for #iPhone is free for a limited time {link} #lp #travel",NA,"positive"
158,"Anyone at #sxsw or heading to aclu event seen owt to do with google circles then?",NA,"neutral"
159,"@mention  #SXSW prompt for memory: go to Google map and describe a childhood walk",NA,"neutral"
160,"The Apple #SXSW store still has iPad 2's and short lines.","iPad","positive"
162,"Just left #sxsw tradeshow demo of @mention at the Google Theatre. Ok, I get it. I see why all the presenters here are using it.","Other Google product or service","positive"
164,"Anyone at #sxsw want an iPad 2? I'm in line and will pick one up for someone willing to pay me 50 for me to grab 1 for you?",NA,"neutral"
165,"Anyone at #sxsw want to make a quick hundred dollars? New #ipad2 from ad hoc apple store here gets hundred plus cost!","iPad","positive"
167,"Monday at #sxsw: barry diller, new york times, congress lunch, W Hotel party, Google party, six dirty martinis. How mondays should be.","Google","positive"
169,"Seriously #sxsw? Did you do any testing on the mobile apps? Constant iPad crashes causing lost schedules, and no sync for WP7.","iPad or iPhone App","negative"
171,"ipad2 and #sxsw...a conflagration of doofusness.  {link}","iPad","negative"
172,"attention #sxsw'ers - {link} - rumored pop-up temporary Apple store for all your #sxsw iPad 2 launch needs.","Apple","positive"
174,"Hey #sxsw #sxswi folks. If you want to learn about security come over to #bsidesaustin {link}",NA,"neutral"
175,"Attending #SXSWi? Work in iPhone / iPad game development? Looking to hire an Austin-based iOS developer? I'm your man. Let's talk. #SXSW",NA,"neutral"
176,"This is a #WINNING picture #android #google #sxsw {link}","Android","positive"
177,"GSD&amp;M + Google 7-10. RT @mention What's the best party to hit tonight? #sxsw @mention @mention",NA,"neutral"
178,"GSD&amp;M + Google Industry Party #SXSW @mention great to meet you  {link}",NA,"neutral"
179,"You spent $1,000+ to come to SXSW. 

You've already used iPad 1. 

The wait is a couple city blocks. 

Why? #ipad2 #SXSW {link}","iPad","negative"
180,"#sxsw day 1 - Marissa Mayer: Google Will Connect the Digital &amp; Physical Worlds Through Mobile {link}",NA,"neutral"
181,"Behind on 100s of emails? Give them all 1 line iPhone composed replies. #SXSW #protip","iPhone","positive"
182,"It's like 10pm at night and there is a line around the block at the popup apple stores selling iPad2s. #sxsw","iPad","positive"
183,".@mention 1154 free songs from #SXSW (this year alone!) {link}",NA,"neutral"
184,"more than 150 million mobile users for Google Maps for Mobile #SXSW",NA,"neutral"
185,"Currently 150 people in line at the &quot;Pop Up Apple Store&quot; #sxsw",NA,"neutral"
188,"Less than 2 hours until we announce the details on the iPad 2 giveaway! #SXSW #SXSWi",NA,"neutral"
190,"(The iPad 2 queue at #sxsw of course",NA,"neutral"
192,"many iPad 2's snapping away at the keynote slides! #sxsw","iPad","positive"
193,"Apple has 200M users' credit cards sync'd with iTunes for one click purchase. . #winning #sxsw",NA,"neutral"
194,"Having my 2nd cocktail &quot;Texas Snowflake&quot;  ( @mention google it!!) at the #CNNGrill #SxSw",NA,"neutral"
195,"New Post: 3 iPhone Apps We'll Be Using at South By Southwest Interactive {link} #SXSW #SXSWi","iPad or iPhone App","positive"
197,"sweet new 3-d google maps demo going on in ballroom D #SXSW","Other Google product or service","positive"
198,"More than 35 million miles per day are driving with Google Maps Navigation! #SXSW","Other Google product or service","positive"
199,"rt ' It's 4 p.m. and the #iPad2 line at the Apple store is longer and wider – about 250 people! Only one more hour. ' #sxsw",NA,"neutral"
200,"U = smart 4 packing an extra :) RT @mention On my way to sunny Austin for #sxsw! Extra iPhone in stow, just in case. @mention @mention",NA,"neutral"
201,"Wonder if 4sqwill attempt to block GoWalla cross-checkins, the way Facebook blocked Google's contacts connections.  #sxsw #lbsWars",NA,"neutral"
204,"Wandering 6th street with the girls. Stopped for ceviche, mojitos, apple juice &amp; ice cream. #sxsw",NA,"neutral"
205,"If you're a band at #SXSW and want to share a track with your Audience from stage, use FrostWire for Android if there's Wi-Fi available","Android App","positive"
206,"We've got a busy week ahead: Our new book on #Google Apps will be available on Amazon &amp; we're attending #SXSW",NA,"neutral"
207,"I believe a few went to Aussies at #sxsw RT @mention iPad 2 Sold Out, 70% Went to New Buyers [REPORT] - {link}",NA,"neutral"
211,"I've seen a lot of tablets here, every single one of them is an iPad. #SXSW",NA,"neutral"
213,"Picked up a Mophie battery case 4 my iPhone in prep for #SXSW. Not lugging around a laptop &amp; only using my phone was a huge win last year.","iPhone","positive"
214,"Now thats a NEWS :P RT@mention Google to Launch Major New Social Network Called Circles, Possibly Today {link} #sxsw",NA,"neutral"
215,"Just took a piss at the trade show, iPad in one hand, iPhone in the other. Pissing. I am KIIIIIILLING it right now. #sxsw",NA,"neutral"
216,"Not to be a rumor monger, but this was a good read ¦ #Google #Circles preview @mention #sxsw {link} by @mention via @mention #socbiz #fb","Other Google product or service","positive"
217,"HOBO WITH A SHOTGUN iPhone game {link} #sxsw",NA,"neutral"
218,"Hobo with A Shotgun video game coming to iPad/iPhone users?! Yes please! {link} #SXSW","iPad or iPhone App","positive"
219,"build out a store in less than 24 hours and have one of the biggest launches in this company's history?  we got this.  #apple #sxsw #ipad2","Apple","positive"
220,"Just took a survey on iPhone while in Starbucks line. Got a free Starbucks gift card. Instant research. Instant gratification. #sxsw #gsdm",NA,"neutral"
221,"Apple has a temporary Retail Store in Austin for the iPad 2 release today. Opens at 5pm. #SXSW #SXSWi #ipad2",NA,"neutral"
222,"Just read about #GroupMe at #SXSW...sounds like an incredible app. Is it available for Android phones yet?","iPad or iPhone App","positive"
223,"Wondering about Circles? &gt; Google to reveal a new social network at #SXSW {link}",NA,"neutral"
224,"google is about search, but local' marissa mayer #sxsw",NA,"neutral"
227,"Questions about what's inside the iPad 2? Fire them my way. #sxsw",NA,"neutral"
228,"Paraormal activity: Sanctuary iphone game. Sketching your AR experience. Interactivity through &quot;magic lense&quot; #EduAR #sxsw",NA,"neutral"
229,"Apple IIe ad in the '85 SI swimsuit issue at a garage sale #sxsw {link}",NA,"neutral"
230,"Flipboard Adds Instagram Photos and Social Search [Apps] {link} #Apple #SocialSearch #SXSW",NA,"neutral"
231,"Spent the aftrnoon on a frozen lake photographing my brother Scott &amp; the @mention team. Catch them at #SXSW ths weeknd.  {link}",NA,"neutral"
232,"If iPhone alarms botch the timechange, how many #SXSW'ers freak? Late to flights, missed panels, behind on bloody marys...","iPhone","negative"
233,"Shouts to all the ladies holding up their iPad 2's at free #sxsw shows to take photos while sipping free beer. /cc: @mention","iPad","positive"
234,"Dj hoodie allen, with all due respect, you should probably make your way back to google #sxsw",NA,"neutral"
236,"Audioboo: American Dream or Bust {link} #iPad #sxsw #bum #begger #us #socialart #Documentally",NA,"neutral"
237,"Skifta is an app-based media shifting service that turns your Android phone into a ...  #sxsw #mashable #sxswi {link}",NA,"neutral"
238,"Rumors of an Apple store opening for #SXSW at 6th &amp; Congress. All signs point to yes! {link}","Apple","positive"
239,"What does an Apple security guy after he locks up the store..... #sxsw - {link}",NA,"neutral"
240,"What does an Apple security guy after he locks up the store..... #sxsw - The Realtime SXSW S... {link} curated by @mention",NA,"neutral"
241,"How I got an iPad 2 during #SXSW!  {link} cc @mention",NA,"neutral"
242,"picked up an ipad 2 at the #sxsw pop up  apple store! only 15 minute wait!","iPad","positive"
243,"Brilliant and enlightening game mechanics presentation by @mention from Google #SXSW","Google","positive"
244,"GSD&amp;M and Google.....sitting in a tree {link} #sxsw #gsdm",NA,"neutral"
245,"@mention  and here's a pic of you winning your ipad! #unsix #sxsw cc @mention @mention  {link} (cont) {link}",NA,"neutral"
246,"My iPhone and I are both VERY thirsty! #sxsw (@mention Chevy Volt Lounge w/ 16 others) {link}",NA,"neutral"
247,"My iPhone and I are both VERY thirsty! #sxsw (@mention Chevy Volt Lounge w/ 16 others) {link} {link}",NA,"neutral"
251,"Reminder: Android and Chrome TTS talk @mention 1 PM today!  {link}  #sxsw",NA,"neutral"
253,"Backupify Announces CloudSight Search, the First Searchable Archive Solution for Social Media and Google Apps #SXSW #SXSWi {link}",NA,"neutral"
255,"Do I need any more for #sxsw! ipad, iphone, laptop, dictaphone, vid.camera.... Wow! Love to  meet the REAL 'cerebellum' charged people:)","iPhone","positive"
256,"Did u see anything on Google's Circles at the #sxsw? @mention @mention",NA,"neutral"
257,"The #SXSW app for my iPhone is ridiculous. It's my personal planner for the next 5 days.","iPad or iPhone App","positive"
258,"Our #sxsw app is now on #android :D huge props to @mention @mention @mention &amp; @mention Get it now: {link}",NA,"neutral"
259,"Found the app kyping my iPhone's geolocation &amp; not releasing when in background. Need a patch, @mention #batterykiller #SXSW","iPad or iPhone App","negative"
260,"the #SXSW app on the iPhone is live. RSVP for events from your phone &amp; check out sundayswagger.eventbrite.com 3/20 #scoremore","iPad or iPhone App","positive"
261,"My iPhone app screen for #sxsw what am I missing?   {link}",NA,"neutral"
262,"Love this app! So awesome. RT @mention Must see #android app at #sxsw &quot;Bizzy&quot; {link}","Android App","positive"
263,"The #SXSW Apple &quot;pop-up&quot; store was nuts. Was still packed at 11:30. {link}","Apple","neutral"
264,"Say what? Apple #sxsw popup store in Austin! {link} ~@mention @mention",NA,"neutral"
265,"BREAKING: Apple announces partnership w/porn industry for new #ipad2 video chat app called, &quot;O-FaceTime&quot;. #sxsw",NA,"neutral"
266,"Of course Apple built a temp store in Austin. It's Texas. They understand the concept of corralling cattle #SXSW #PickMeUpAniPad2","Apple","negative"
267,"Love that Apple didn't let something like not having a retail store near #SXSW keep them away by opening a pop-up store {link}","Apple","positive"
268,"Surprise! Apple has opened a pop-up store in Austin so that the nerds in town for #SXSW can get their new ... {link} #Cnet","Apple","positive"
269,"Surprise! Apple has opened a pop-up store in Austin so that the nerds in town for #SXSW can get their new iPads. {link} #cnet","iPad","positive"
272,"#technews Apple heads to SXSW, sets up temporary store in Austin {link} #Tech_News #Apple #iPad_2 #Rance_Wilemon #SXSW #tech",NA,"neutral"
273,"“@mention Apple is a great example of a retail store layed out for the future - no 'registers' no 'checkout line'  #sxsw","Apple","positive"
274,"“@mention Apple is opening up a temporary store in downtown Austin for #SXSW and the iPad 2 launch {link} #gswsxsw","Apple","positive"
275,"“@mention Apple is opening up a temporary store in downtown Austin for #SXSW and the iPad 2 launch&quot; oh YAY more traffic.","Apple","negative"
276,"#technews Apple Opening Pop-Up Store In Austin For SXSW {link} #Tech_News #American_Statesman #Apple #Apple_Apple #SXSW #tech",NA,"neutral"
277,"#technews Apple Opening Pop-Up Store in Austin for SXSW Geekfest [Apple] {link} #Tech_News #Apple #Brian_Lam #iPad_2 #SXSW #tech",NA,"neutral"
278,"The #sxsw Apple Popup Store is open at noon, has a fresh shipment of iPad 2's, and I'm pretty sure I'm going to get one. [fingers crossed]","iPad","positive"
279,"#technews Apple saves SXSW, set to open pop-up store {link} #Tech_News #Apple #SXSW #tech","Apple","positive"
280,"At #SXSW, Apple schools the marketing experts  {link}",NA,"neutral"
282,"At #SXSW, Apple schools the marketing experts {link} via @mention","Apple","positive"
286,"“@mention Apple store downtown Austin open til Midnight. #sxsw” @mention there's still time :)","Apple","positive"
288,"@mention  Apple Store on Congress  {link} #sxsw #austin",NA,"neutral"
289,"&quot;The Apple store at the mall on Sunday is 10x as crowded as this. This line is fake. I just need a fucking dongle.&quot; Genius let me in. #sxsw","Apple","negative"
290,"2wks only Apple Store in 6th Austin street is now opened. #sxsw",NA,"neutral"
291,"A special Apple store: opening at 6th and Congress for SXSW &amp; ipad 2 launch. www.apple.com/retail/thedomain/  #Apple #iPad2 #sxsw #fb",NA,"neutral"
292,"Makeshift apple store at 6th and congress. You're kidding me. Amazing #sxsw #apple","Apple","positive"
293,"Temporary Apple store at #sxsw - huge line. {link}",NA,"neutral"
294,"Temporary Apple store at SXSW is really cool...as is the iPad 2 :) #apple #SXSW #fanboy","iPad","positive"
295,"Temporary Apple Store being set up for #SXSW... shit now the temptation is going to be out of control.","Apple","positive"
296,"Temporary apple store for #sxsw, line goes around the block {link}",NA,"neutral"
297,"Temporary Apple store opens @mention 6th &amp; Congress tomorrow. #ipad2 #sxsw",NA,"neutral"
299,"Temporary Apple Store will be a block from my office! Can't wait to see the line tomorrow. Photos to come... #sxsw #iPad2","Apple","positive"
300,"The #sxsw Apple store opens at noon each day and closes when they run out of iPad2s. Why didn't I buy stock 10 years ago?",NA,"neutral"
302,"iPad news apps 'so last year' at #SXSW {link}","iPad or iPhone App","negative"
303,"10 iPhone Apps you’ll Probably Need and Use During #SXSW {link}","iPad or iPhone App","positive"
304,"Now there are 150 million mobile google maps users @mention #sxsw","Other Google product or service","positive"
305,"The lines are already forming at Apple's pop-up store in Austin. Aren't these people here to see the festival? {link} #sxsw",NA,"neutral"
306,"And a few are Android too RT @mention 10 New Mobile Apps I’ll Be Using at #SXSW  {link}","Android App","positive"
307,"#Sxsw You are attending SXSW? report what you see with your Android phone, get Bannka app.",NA,"neutral"
308,"iPad apps are just like software development in that once you release it, you have to start working on the update. #sxsw","iPad or iPhone App","positive"
309,"My tweets are stalled. Data sluggish. Come on AT&amp;T, Verizon is embarrassing iPhone customers who haven't switched. #SXSW #iPhone",NA,"neutral"
310,"Those who are tweeting that Google is coming out with Circles platform today are outside of the circle, keep up #itsnot #sxsw",NA,"neutral"
311,"“@mention Are you Stupid? Find it out at the #sxsw on your Mac {link} for a special price! #games #Mac”",NA,"neutral"
312,"Slate see as much traffic to mobile safari as to their app on the iPad #sxsw #electricnews",NA,"neutral"
313,"Unloading at #apple store corner of 6th and congress in Austin. Temp store for #SXSW  {link}",NA,"neutral"
314,"Great day at #SXSW -BUT jaloux of @mention &amp; HIS NEW iPad.Look at him on school bus on 1st day of school {link}",NA,"neutral"
315,"I arrived at #sxsw and my @mention issue hasn't been resolved. Dying to use the iPhone app but cant login. RT@mention @mention we're on it","iPad or iPhone App","neutral"
316,"I will be at #sxsw for Screenburn @mention launch of my clients new iPhone game #travellerARlaunch find out more at {link}",NA,"neutral"
317,"If anyone at #sxsw wants to see a demo of PicCraft or an ipad 2, find me",NA,"neutral"
